id,title,subTitle,url,image,price_sale,price_original,gender,age_group,colordescription,out_of_stock,best_seller
FJ9509-006,Nike Winflo 11,Men's Road Running Shoes,https://www.nike.com/ph/t/wio-11-road-running-shoes-2SNS3P/FJ9509-006,https://static.nike.com/a/images/t_default/53006705-ee65-42d2-bd84-492351c5e559/NIKE+AIR+WINFLO+11.png,5495.0,5495.0,['male'],adult,Ghost/Football Grey/Deep Night/Blue Void,False,False
FN0228-005,Nike Journey Run,Men's Road Running Shoes,https://www.nike.com/ph/t/journey-run-road-running-shoes-Q5kF8v/FN0228-005,https://static.nike.com/a/images/t_default/cc2f30c3-af14-4071-a307-c82347f384b7/NIKE+JOURNEY+RUN.png,4995.0,4995.0,['male'],adult,Football Grey/Aluminium/Blue Lightning/Blue Void,False,False
FN0332-103,Nike Free Golf NN,Golf Shoes,https://www.nike.com/ph/t/free-golf-nn-golf-shoes-3b46B1/FN0332-103,https://static.nike.com/a/images/t_default/68f20b38-5a2f-4d3c-9884-cbb1234e38db/NIKE+FREE+GOLF+NN.png,7395.0,7395.0,['male'],adult,White/Safety Orange/Black,False,False
FN0332-300,Nike Free Golf NN,Golf Shoes,https://www.nike.com/ph/t/free-golf-nn-golf-shoes-3b46B1/FN0332-300,https://static.nike.com/a/images/t_default/a596d598-38fd-4f60-a492-56d8941cd6fc/NIKE+FREE+GOLF+NN.png,7395.0,7395.0,['male'],adult,Light Army/Light Silver/Black,False,False
FN0709-800,LeBron XXI 'Queen Conch' EP,Basketball Shoes,https://www.nike.com/ph/t/lebron-xxi-queen-conch-ep-basketball-shoes-K1MXgZ/FN0709-800,https://static.nike.com/a/images/t_default/62cc578c-54c4-4efc-97ae-f8b228cdf347/LEBRON+XXI+EP.png,11295.0,11295.0,['male'],adult,Ember Glow/Campfire Orange/Dark Russet/Elemental Gold,False,False
FQ0227-201,Jordan Roam,Slides,https://www.nike.com/ph/t/jordan-roam-slides-XsQbqX/FQ0227-201,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9799bf8b-15bd-4298-a738-9c0b2028e5a6/JORDAN+ROAM.png",2795.0,2795.0,['male'],adult,Rattan/Sail/Pale Ivory/Black,False,False
FQ0904-003,Nike Juniper Trail 3,Men's Trail-Running Shoes,https://www.nike.com/ph/t/juniper-trail-3-trail-running-shoes-b0qq1T/FQ0904-003,https://static.nike.com/a/images/t_default/4769b22e-a105-4053-b2b3-22eb55683f25/NIKE+JUNIPER+TRAIL+3.png,4695.0,4695.0,['male'],adult,Dark Smoke Grey/Black/Wolf Grey/Light Orewood Brown,False,False
FQ1759-060,Jordan Spizike Low,Men's Shoes,https://www.nike.com/ph/t/jordan-spizike-low-shoes-pBZk7c/FQ1759-060,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a0f76834-87f4-44b4-8d57-558373d6e3fa/JORDAN+SPIZIKE+LOW.png",8895.0,8895.0,['male'],adult,Black/Classic Green/White/Varsity Red,False,False
FQ1759-103,Jordan Spizike Low,Men's Shoes,https://www.nike.com/ph/t/jordan-spizike-low-shoes-pBZk7c/FQ1759-103,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b1858082-d293-4d0f-91b1-44cdf291ee90/JORDAN+SPIZIKE+LOW.png",8895.0,8895.0,['male'],adult,White/Metallic Silver/Barely Blue/Neutral Grey,False,False
FQ1831-001,Nike MC Trainer 3,Men's Workout Shoes,https://www.nike.com/ph/t/mc-trainer-3-workout-shoes-hj8wBW/FQ1831-001,https://static.nike.com/a/images/t_default/2a93ef3e-f707-48f0-b449-35918e8fa72a/M+NIKE+MC+TRAINER+3.png,3695.0,3695.0,['male'],adult,Black/White,False,False
FQ1831-004,Nike MC Trainer 3,Men's Workout Shoes,https://www.nike.com/ph/t/mc-trainer-3-workout-shoes-hj8wBW/FQ1831-004,https://static.nike.com/a/images/t_default/d5fdc5be-d5e3-4d55-8b7d-17c538bb47a5/M+NIKE+MC+TRAINER+3.png,3695.0,3695.0,['male'],adult,Pure Platinum/Black/Washed Teal,False,False
FQ1833-600,Nike Air Max Alpha Trainer 6,Men's Workout Shoes,https://www.nike.com/ph/t/air-max-alpha-trainer-6-workout-shoes-k6sbg6/FQ1833-600,https://static.nike.com/a/images/t_default/0fc212d7-2778-4a56-94ba-8a68b7420a12/M+AIR+MAX+ALPHA+TRAINER+6.png,4995.0,4995.0,['male'],adult,Dark Team Red/Burgundy Crush/Off-Noir/Picante Red,False,False
FQ1854-800,Nike Metcon 1 OG,Men's Workout Shoes,https://www.nike.com/ph/t/metcon-1-og-workout-shoes-tz6pbf/FQ1854-800,https://static.nike.com/a/images/t_default/e263bf73-8883-4014-a515-f1cb6884037c/NIKE+METCON+1+OG.png,8395.0,8395.0,['male'],adult,Total Orange/Blue Lagoon/Black/White,False,False
FQ7939-104,Air Jordan 4 RM,Men's Shoes,https://www.nike.com/ph/t/air-jordan-4-rm-shoes-NNlJjc/FQ7939-104,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f61c9f7e-78d6-4d27-9503-f9a9f916071a/AIR+JORDAN+4+RM.png",7895.0,7895.0,['male'],adult,White/White/Neutral Grey,False,False
FQ7939-140,Air Jordan 4 RM,Men's Shoes,https://www.nike.com/ph/t/air-jordan-4-rm-shoes-NNlJjc/FQ7939-140,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f8c56df2-6934-4fa8-b731-66f8ea14e5f2/AIR+JORDAN+4+RM.png",7895.0,7895.0,['male'],adult,White/Black/Deep Royal Blue,False,False
FQ8298-102,Jordan Max Aura 6,Men's Shoes,https://www.nike.com/ph/t/jordan-max-aura-6-shoes-R3588p/FQ8298-102,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4ae8d0a5-62b4-457d-ab8f-7b73a911da2d/JORDAN+MAX+AURA+6.png",7395.0,7395.0,['male'],adult,White/Gym Red/Black,False,False
FV1302-008,Nike Air Max Verse,Men's Shoes,https://www.nike.com/ph/t/air-max-verse-shoes-4Vr6wn/FV1302-008,https://static.nike.com/a/images/t_default/3742db41-c6d0-424c-abe5-e089727e5eab/NIKE+AIR+MAX+VERSE.png,6895.0,6895.0,['male'],adult,Pure Platinum/White/Metallic Silver/Midnight Navy,False,False
FV1302-009,Nike Air Max Verse,Men's Shoes,https://www.nike.com/ph/t/air-max-verse-shoes-4Vr6wn/FV1302-009,https://static.nike.com/a/images/t_default/d0de6f30-2553-4eea-93f8-2554de8cd25d/NIKE+AIR+MAX+VERSE.png,6895.0,6895.0,['male'],adult,Soft Pearl/Soft Pearl/White/Pure Platinum,False,False
HF3148-102,Air Jordan 1 Low SE,Men's Shoes,https://www.nike.com/ph/t/air-jordan-1-low-se-shoes-scpjvp/HF3148-102,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/19df9d98-c16a-423d-9e1e-3e126dae0e77/AIR+JORDAN+1+LOW+SE.png",7295.0,7295.0,['male'],adult,White/Dark Pony/Black,False,False
HJ9153-001,Nike Precision 7,Basketball Shoes,https://www.nike.com/ph/t/precision-7-basketball-shoes-6JN4R0/HJ9153-001,https://static.nike.com/a/images/t_default/c5ac6d14-0e07-4c4e-8298-e19d301238ae/NIKE+PRECISION+VII.png,3695.0,3695.0,['male'],adult,Black/Lightning/Coconut Milk,False,False
HJ9153-002,Nike Precision 7,Basketball Shoes,https://www.nike.com/ph/t/precision-7-basketball-shoes-6JN4R0/HJ9153-002,https://static.nike.com/a/images/t_default/3d3acfed-d451-48e5-9525-03e26a3654f7/NIKE+PRECISION+VII.png,3695.0,3695.0,['male'],adult,Wolf Grey/Phantom/Barely Volt,False,False
HJ9153-600,Nike Precision 7,Basketball Shoes,https://www.nike.com/ph/t/precision-7-basketball-shoes-6JN4R0/HJ9153-600,https://static.nike.com/a/images/t_default/059199d1-423a-4593-b8ee-c0c9b75a387a/NIKE+PRECISION+VII.png,3695.0,3695.0,['male'],adult,Bright Crimson/Light Base Grey/Black,False,False
HM9594-001,Nike Run Defy,Men's Road Running Shoes,https://www.nike.com/ph/t/run-defy-road-running-shoes-rVrdTl/HM9594-001,https://static.nike.com/a/images/t_default/9c3f5d2c-2a33-4e11-8bf7-cddad6e14121/NIKE+RUN+DEFY.png,3095.0,3095.0,['male'],adult,Black/University Red/White/Cool Grey,False,False
HM9594-004,Nike Run Defy,Men's Road Running Shoes,https://www.nike.com/ph/t/run-defy-road-running-shoes-rVrdTl/HM9594-004,https://static.nike.com/a/images/t_default/503220d8-e123-48a6-be64-3dc019e5bdc1/NIKE+RUN+DEFY.png,3095.0,3095.0,['male'],adult,Black/White,False,False
HM9862-002,Nike Court Vision Low,Men's Shoes,https://www.nike.com/ph/t/court-vision-low-shoes-M7dKd8/HM9862-002,https://static.nike.com/a/images/t_default/cd1a83e6-b19a-4c68-9829-d48a0b66d08a/NIKE+COURT+VISION+LO.png,4295.0,4295.0,['male'],adult,Pure Platinum/White,False,False
HM9862-200,Nike Court Vision Low,Men's Shoes,https://www.nike.com/ph/t/court-vision-low-shoes-M7dKd8/HM9862-200,https://static.nike.com/a/images/t_default/358614ad-006c-4ac9-ad4a-70a27c69ee78/NIKE+COURT+VISION+LO.png,4295.0,4295.0,['male'],adult,Light Khaki/White,False,False
HQ4502-300,Nike Terra Manta,Women's Shoes,https://www.nike.com/ph/t/terra-manta-shoes-HzWr4exE/HQ4502-300,https://static.nike.com/a/images/t_default/dc10eede-0713-4a08-b630-3819d94541f3/NIKE+TERRA+MANTA.png,4795.0,4795.0,['male'],adult,Fir/Gum Light Brown/White,False,False
